,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,ind,Group,Deck,Num,Side,Minor,Total_Expense,Expenditure
0,Europa,0,TRAPPIST-1e,39.0,0,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,train,1,B,0,P,0,0.0,0
1,Earth,0,TRAPPIST-1e,24.0,0,109.0,9.0,25.0,549.0,44.0,Juanna Vines,train,1,F,0,S,0,736.0,1
2,Europa,0,TRAPPIST-1e,58.0,1,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,train,1,A,0,S,0,10383.0,1
3,Europa,0,TRAPPIST-1e,33.0,0,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,train,2,A,0,S,0,5176.0,1
4,Earth,0,TRAPPIST-1e,16.0,0,303.0,70.0,151.0,565.0,2.0,Willy Santantines,train,1,F,1,S,0,1091.0,1
5,Earth,0,PSO J318.5-22,44.0,0,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,train,1,F,0,P,0,774.0,1
6,Earth,0,TRAPPIST-1e,26.0,0,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,train,1,F,2,S,0,1584.0,1
7,Earth,1,TRAPPIST-1e,28.0,0,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,train,2,G,0,S,0,0.0,0
8,Earth,0,TRAPPIST-1e,35.0,0,0.0,785.0,17.0,216.0,0.0,Andona Beston,train,1,F,3,S,0,1018.0,1
9,Europa,1,55 Cancri e,14.0,0,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,train,1,B,1,P,0,0.0,0
10,Europa,1,TRAPPIST-1e,34.0,0,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,train,2,B,1,P,0,0.0,0
11,Europa,0,55 Cancri e,45.0,0,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,train,3,B,1,P,0,8157.0,1
12,Mars,0,TRAPPIST-1e,32.0,0,73.0,0.0,1123.0,0.0,113.0,Berers Barne,train,1,F,1,P,0,1309.0,1
13,Earth,0,TRAPPIST-1e,48.0,0,719.0,1.0,65.0,0.0,24.0,Reney Baketton,train,1,G,1,S,0,809.0,1
14,Earth,0,TRAPPIST-1e,28.0,0,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,train,1,F,2,P,0,1003.0,1
15,Earth,0,TRAPPIST-1e,31.0,0,32.0,0.0,876.0,0.0,0.0,Justie Pooles,train,1,F,0,S,0,908.0,1
16,Mars,0,55 Cancri e,27.0,0,1286.0,122.0,0.0,0.0,0.0,Flats Eccle,train,1,F,3,P,0,1408.0,1
17,Earth,0,55 Cancri e,24.0,0,0.0,1.0,0.0,0.0,637.0,Carry Hughriend,train,1,F,4,P,0,638.0,1
18,Mars,1,TRAPPIST-1e,45.0,0,0.0,0.0,0.0,0.0,0.0,Alus Upead,train,1,F,5,P,0,0.0,0
19,Earth,0,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,train,1,G,0,P,1,0.0,0
20,Earth,0,55 Cancri e,14.0,0,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,train,2,F,6,P,0,1092.0,1
21,Earth,1,TRAPPIST-1e,1.0,0,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,train,1,E,0,S,1,0.0,0
22,Earth,1,55 Cancri e,49.0,0,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,train,2,E,0,S,0,0.0,0
23,Earth,1,55 Cancri e,29.0,0,0.0,0.0,0.0,0.0,0.0,Mollen Mcfaddennon,train,3,E,0,S,0,0.0,0
24,Earth,0,TRAPPIST-1e,10.0,0,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,train,4,E,0,S,1,0.0,0
25,Earth,1,PSO J318.5-22,1.0,0,0.0,0.0,0.0,0.0,0.0,Mael Brantuarez,train,5,E,0,S,1,0.0,0
26,Earth,0,TRAPPIST-1e,7.0,0,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,train,6,E,0,S,1,0.0,0
27,Mars,0,TRAPPIST-1e,21.0,0,980.0,2.0,69.0,0.0,0.0,Alasmon Meteet,train,1,D,0,P,0,1051.0,1
28,Europa,1,TRAPPIST-1e,62.0,0,0.0,0.0,0.0,0.0,0.0,Penton Fullided,train,1,C,2,S,0,0.0,0
29,Earth,0,TRAPPIST-1e,15.0,0,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,train,1,F,6,S,0,1223.0,1
30,Europa,0,55 Cancri e,34.0,0,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary,train,1,C,0,P,0,7861.0,1
31,Mars,0,TRAPPIST-1e,43.0,0,1125.0,0.0,136.0,48.0,0.0,Ceros Mare,train,1,F,8,P,0,1309.0,1
32,Earth,0,TRAPPIST-1e,32.0,0,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,train,1,G,4,S,0,1821.0,1
33,Mars,0,TRAPPIST-1e,47.0,0,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,train,1,F,9,P,0,2854.0,1
34,Mars,0,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,Cinets Datie,train,2,F,9,P,1,0.0,0
35,Mars,0,TRAPPIST-1e,20.0,0,0.0,0.0,1750.0,990.0,0.0,Dontch Datie,train,3,F,9,P,0,2740.0,1
36,Europa,1,55 Cancri e,28.0,0,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,train,1,D,1,S,0,0.0,0
37,Mars,0,55 Cancri e,23.0,0,784.0,964.0,0.0,951.0,0.0,Luse Butte,train,1,D,1,P,0,2699.0,1
